Function,Class,chunks0,chunks1,chunks2,chunks3,chunks4,ct,cube
4228076457,1,2,4,3,3,2,16,10
4121556570,1,2,3,5,3,2,13,10
4219692646,1,2,3,5,3,2,13,10
4014957263,1,2,4,5,4,2,14,9
2818960127,1,2,3,4,3,2,12,7
330047423,1,2,3,4,3,2,12,19
3743546869,1,2,4,5,4,2,16,10
3499544727,1,2,3,4,3,2,12,7
4241425253,0,2,4,4,3,2,14,9
2135970800,1,2,3,4,3,2,10,12
3322583466,0,2,4,4,3,2,14,10
811965082,0,2,4,2,2,2,15,9
294387947,1,2,3,3,3,2,14,20
3486987223,0,2,3,4,3,2,10,7
2566974554,1,2,4,4,3,2,13,9
2363018463,1,2,3,4,4,2,13,7
2400126799,1,2,3,3,3,2,11,6
4026500864,1,2,3,3,3,2,12,9
4217096443,1,2,4,4,3,2,13,8
1810097894,1,2,3,4,3,2,13,17
2874138623,1,2,3,4,4,2,12,8
4212347155,1,2,3,4,3,2,10,6
4214426369,1,2,3,4,3,2,11,6
4039363066,0,2,4,4,3,2,14,9
3665799695,1,2,4,4,3,2,11,8
251981764,1,2,3,4,3,2,10,7
437606922,1,2,3,4,3,2,11,17
4093771008,1,2,3,3,3,2,12,6
2768256153,0,2,4,4,3,2,13,9
4051026241,1,2,3,5,3,2,11,7
4037063908,0,2,4,3,2,2,11,7
393564533,1,2,3,3,3,2,12,21
1594186703,1,2,4,5,3,2,12,14
3166499792,1,2,3,4,3,2,11,9
1459680123,1,2,3,5,4,2,14,14
452606523,1,2,3,4,4,2,13,15
979321941,1,2,4,4,3,2,12,6
1408807867,0,2,4,5,4,2,15,15
3761299690,1,2,3,4,3,2,11,7
4228513001,1,2,3,4,3,2,11,8
1323596799,1,2,4,5,4,2,14,16
2146990728,1,2,3,4,3,2,13,19
3200159041,0,2,4,4,3,2,14,9
171507916,0,2,4,3,2,2,12,7
17941010,1,2,3,4,3,2,11,18
4241439879,1,2,3,4,3,2,11,8
3127269274,1,2,3,5,3,2,17,11
272734874,1,2,3,4,3,2,14,20
1987445290,1,2,3,5,3,2,12,13
1661299722,0,2,4,4,3,2,13,15
1276315767,1,2,3,4,3,2,12,13
1675587727,1,2,3,5,3,2,13,17
1004273619,1,2,3,4,3,2,11,8
1428017694,1,2,4,4,3,2,12,14
4210951479,0,2,3,3,2,2,12,7
4407300,1,2,3,3,3,2,12,10
538258448,1,2,3,4,3,2,11,7
263190648,1,2,3,4,3,2,11,8
